,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPPER A,Bloque 4,,Fecha,,22/9/2025,,Fecha,,29/9/2025,,Fecha,,6/10/2025,,Fecha,,14/10/2025,,Fecha,,20/10/2025,,Fecha,,27/10/2025,
,,,,Nivel Energía,,92,,Nivel Energía,,88,,Nivel Energía,,90,,Nivel Energía,,81,,Nivel Energía,,69,,Nivel Energía,,88,
,,EJERCICIOS,SETS,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA
,,Press Plano Con Barra,2,92,5,1,9,92,5,0,10,95,2,0,9,85,6,1,10,75,9,0,10,75,10,0,10
,,,,87,6,0,10,87,6,0,10,80,9,0,10,72,9,1,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Remo Abierto,2,75,10,1,10,85,15,0,10,180,8,0,10,210,8,0,10,210,9,0,10,220,7,0,9
,,,,75,10,0,10,103,6,0,10,180,8,0,0,180,9,0,10,180,10,0,10,180,10,0,9
,,,,68,8,1,10,94,9,0,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pec Dec,1,170,8,1,7,50,10,0,9,55,7,0,9,60,8,0,10,55,12,0,10,60,9,0,9
,,,,150,8,0,10,50,7,0,10,55,5,0,10,,,,,52,9,0,10,55,8,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jalón Abierto,1,180,9,1,10,195,6,0,9,195,7,0,9,195,7,0,10,195,7,0,10,95,7,0,10
,,,,170,8,0,10,180,8,0,10,170,10,0,9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
