,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPPER A,Lunes,,,,,,Fecha,,5/1/2025,,Fecha,,12/1/2026,,Fecha,,19/1/2026,,Fecha,,26/1/2026,,,Fecha,,,,,,,,,Nivel de Energía,,,,
,,,,,,,,Nivel Energía,,96,,Nivel Energía,,96,,Nivel Energía,,100,,Nivel Energía,,88,,,Nivel Energía,,,,,,,,4,Días Seguidos De Entrenamiento,,,,1 día
,,EJERCICIOS,SETS,RIR,REPS,NOTAS,,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,,,,,3,Aporreamiento,,,,Ningún dolor muscular
,,Press De Banca,3,2,6 - 8,Topset 4 - 6 RIR 1,,87,4,1,10,87,6,1,10,90,4,1,10,100,2,0,,10,100,,,,,,,,2,Motivacion,,,,Ganas Intermedias
,,,,,,,,80,7,1,10,80,8,2,10,85,6,1,10,94,6,0,,10,,,,,,,,,3,Estrés,,,,Estrés bajo
,,,,,,,,77,6,2,10,77,7,2,10,77,8,1,10,84,8,1,,10,,,,,,,,,3,Cantidad De Sueño,,,,8 horas o más
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Calidad Del Sueño,,,,Sueño reparador
,,Remo T,2,2,6 - 8,Topset 4 - 6 RIR 1,,60,5,2,10,60,6,0,10,62,5,1,10,62,6,0,,10,,7,,,,,,,3,Estado Inmune,,,,Ninguno
,,,,,,,,52,7,1,10,57,8,0,10,60,6,1,10,60,6,0,,10,,,,,,,,,3,Estado Hormonal,,,,Ambos significativos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nivel de Preparación,,,,92%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pec Dec,2,0,6 - 8,,,210,7,0,10,210,8,0,10,215,6,0,10,215,7,0,,10,,,,,,,,,,CALENTAMIENTO SUPERIOR,,,,
,,,,,,,,190,6,0,10,190,8,0,10,210,7,0,10,210,8,0,,10,,,,,,,,,,"10 Ligas Sobre Brazos
10 Pull Apart De Banda ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dominadas,3,1,6 - 8,,,0,6,1,10,10,3,0,10,25,4,0,10,25,4,0,,10,,,,,,,,,,,,,,
,,,,,,,,0,5,0,10,0,6,1,10,0,7,0,10,0,7,0,,10,,,,,,,,,,CALENTAMIENTO INFERIOR,,,,
,,,,,,,,0,4,0,10,0,5,0,10,,,,,0,5,1,,10,,,,,,,,,,"10 repeticiones por lado Balanceo de piernas de adelante hacia atrás
10 repeticiones por lado Balanceo de piernas de lado a lado
10 sentadillas
10 extensiones de candera",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JM Press,2,1,6 - 8,,,65,6,0,10,65,7,0,10,65,7,0,10,25,8,0,,10,,,,,,,,,,,,,,
,,,,,,,,62,7,0,10,62,7,0,10,60,8,1,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bíceps Con Barra Z,3,1,6 - 8,,,70,4,0,8,80,6,1,10,80,8,0,10,80,8,0,,10,,,,,,,,,,NOTA GENERAL,,,,
,,,,,,,,60,6,0,10,70,8,0,10,80,6,0,10,80,6,0,,10,,,,,,,,,,5 a 10 minutos de caminata al empezar para calentar.,,,,
,,,,,,,,50,7,1,10,,,,,70,7,0,10,70,6,0,,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Polea Alta Unilateral,2,0,6 - 8,,,27,7,1,10,30,6,0,10,30,7,0,10,30,5,0,,10,,,,,,,,,,,,,,
,,,,,,,,27,6,0,10,25,7,0,10,27,7,0,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,8,0,10,25,6,0,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Series Totales,17,Carga de Trabajo,,,,7,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,
,,Tiempo en Minutos,,,,,,90,,,,120,,,,120,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOWER A,Martes,,,,,,Fecha,,6/1/2026,,Fecha,,13/1/2026,,Fecha,,20/1/2026,,Fecha,,27/1/2026,,,Fecha,,3/2/2026,,,,,,,,,,,
,,,,,,,,Nivel Energía,,69,,Nivel Energía,,92,,Nivel Energía,,92,,Nivel Energía,,73,,,Nivel Energía,,100,,,,,,,,,,,
,,EJERCICIOS,SETS,RIR,REPS,NOTAS,,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,,,,,,,,,,
,,Sentadilla Lowbar,3,2,6 - 8,Topset 4 - 6 RIR 1,,105,5,1,10,105,6,1,10,110,4,1,10,110,6,1,,10,115,4,1,10,,,,,,,,,,
,,,,,,,,100,6,1,10,100,7,1,10,100,8,1,10,105,6,1,,10,110,6,1,10,,,,,,,,,,
,,,,,,,,93,7,2,10,93,8,2,10,97,6,2,10,97,6,2,,10,100,6,2,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hombro Posterior En Polea,2,0,12 - 15,Altura De Ojo,,20,15,0,9,22,12,0,9,22,12,0,9,22,13,0,,10,22,15,0,10,,,,,,,,,,
,,,,,,,,20,12,0,10,20,13,0,10,20,12,10,10,20,12,0,,10,20,14,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peso Muerto Rumano,2,2,6 - 8,,,112,7,2,10,47,10,0,10,60,5,1,10,60,6,0,,10,60,7,0,10,,,,,,,,,,
,,,,,,,,110,6,1,10,47,8,0,10,55,7,0,10,55,8,1,,10,60,6,0,10,,,,,,,,,,
,,,,,,,,,,,,40,8,0,10,55,6,0,10,55,6,0,,10,55,8,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laterales Con Mancuerna,2,0,12 - 15,,,30,12,0,10,30,13,0,10,30,13,0,10,30,13,0,,10,30,13,0,10,,,,,,,,,,
,,,,,,,,25,13,0,10,25,14,0,10,25,14,0,10,20,14,0,,10,30,12,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extensiones De Cuádriceps,2,1,10 - 12,Unilateral,,110,12,1,10,130,10,0,10,130,10,1,10,130,10,1,,10,130,12,0,10,,,,,,,,,,
,,,,,,,,110,10,0,10,110,10,1,10,110,11,1,10,110,11,1,,10,130,10,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Curl Femoral Sentado,3,0,6 - 8,,,150,7,1,10,150,8,0,10,170,7,0,10,170,7,1,,10,170,8,1,10,,,,,,,,,,
,,,,,,,,150,6,0,10,150,6,0,10,150,8,0,10,170,6,0,,10,170,6,0,10,,,,,,,,,,
,,,,,,,,130,8,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abdomen En Polea,3,0,10 -12,,,130,10,1,10,60,12,0,10,130,11,0,9,,,,,,,,,,,,,,,,,,,
,,,,,,,,110,10,0,10,130,10,0,10,110,12,0,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,90,11,0,10,110,8,0,10,110,10,0,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Series Totales,17,Carga de Trabajo,,,,6,,,,6,,,,6,,,,,,,,,7,,,,,,,,,,,,,
,,Tiempo en Minutos,,,,,,90,,,,90,,,,120,,,,,,,,,80,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
